JourneyID,CustomerID,ProductID,VisitDate,Stage,Action,Duration
1,64,18,2024-06-10,Checkout,Drop-off,NULL
2,94,11,2025-07-09,Checkout,Drop-off,NULL
3,34,8,2024-06-14,ProductPage,View,235
4,33,18,2025-05-28,Checkout,Drop-off,NULL
5,91,10,2023-02-11,Homepage,Click,156
6,54,11,2025-12-19,Homepage,View,264
7,80,4,2023-08-25,Homepage,View,298
8,99,10,2025-07-03,ProductPage,View,287
9,31,4,2025-06-13,ProductPage,View,278
10,44,16,2025-04-23,ProductPage,View,30
11,23,12,2023-08-22,Checkout,Drop-off,NULL
12,97,12,2023-07-28,ProductPage,View,227
13,83,5,2024-06-20,Homepage,View,223
14,14,13,2025-11-01,ProductPage,View,13
15,9,1,2025-11-04,ProductPage,View,292
16,14,16,2024-07-17,Homepage,View,46
17,67,2,2025-12-11,Homepage,View,185
18,70,15,2025-10-13,Homepage,View,191
19,9,1,2024-08-15,Homepage,View,187
20,44,18,2024-02-19,productpage,View,154
21,58,20,2024-03-07,Checkout,Drop-off,NULL
22,12,1,2025-11-19,Homepage,Click,20
23,58,1,2023-07-05,Homepage,View,48
24,77,6,2025-06-25,Checkout,Drop-off,NULL
25,75,12,2023-11-23,ProductPage,View,239
26,78,20,2024-04-17,Homepage,View,129
27,36,9,2024-08-10,Homepage,View,214
28,1,20,2025-09-26,ProductPage,View,64
29,12,17,2025-06-01,Homepage,View,205
30,48,2,2023-05-03,ProductPage,View,242
31,81,19,2023-04-04,Homepage,View,130
32,67,11,2023-09-04,Checkout,Drop-off,NULL
33,2,5,2025-08-10,Homepage,View,26
34,55,15,2023-10-26,Homepage,View,233
35,60,19,2023-06-21,homepage,Click,162
36,17,2,2023-11-20,Checkout,Purchase,137
37,38,17,2024-06-18,Checkout,Drop-off,NULL
38,13,18,2023-02-23,ProductPage,View,227
39,63,18,2023-08-10,ProductPage,View,233
40,4,12,2024-12-22,Homepage,View,110
41,92,5,2025-11-23,ProductPage,View,124
42,95,10,2025-01-28,Homepage,View,172
43,21,8,2025-03-14,Homepage,View,40
44,29,3,2024-02-29,Homepage,View,193
45,94,6,2023-06-07,productpage,View,118
46,30,19,2025-10-27,Homepage,View,210
47,30,20,2024-02-18,checkout,Drop-off,NULL
48,52,13,2025-02-01,Homepage,View,241
49,93,14,2023-04-09,Homepage,Click,69
50,5,9,2024-04-19,Homepage,View,44
51,65,8,2025-09-29,ProductPage,View,272
52,15,9,2025-08-07,Checkout,Drop-off,NULL
53,24,4,2024-04-05,Homepage,View,182
54,9,11,2024-11-19,checkout,Drop-off,NULL
55,1,7,2024-03-17,Checkout,Drop-off,NULL
56,97,11,2023-12-20,Homepage,Click,234
57,52,14,2024-12-02,Homepage,View,253
58,51,20,2025-03-08,ProductPage,View,174
59,32,8,2024-08-19,Homepage,View,238
60,19,6,2025-06-17,ProductPage,View,190
61,69,20,2025-07-12,Homepage,Click,14
62,42,1,2024-10-22,Homepage,View,186
63,51,15,2025-05-22,Homepage,View,139
64,86,20,2023-07-03,ProductPage,View,77
65,54,10,2023-12-23,Homepage,View,101
66,52,2,2023-11-16,homepage,Click,242
67,25,1,2023-05-21,ProductPage,Click,57
68,45,16,2023-04-29,ProductPage,Click,250
69,82,19,2025-02-21,ProductPage,Click,158
70,75,17,2023-07-07,Homepage,View,297
71,40,20,2023-07-13,Checkout,Drop-off,NULL
72,47,15,2023-08-23,Homepage,Click,34
73,20,16,2024-09-17,Homepage,View,17
74,81,13,2024-09-26,Homepage,Click,291
75,93,1,2024-10-01,ProductPage,Click,279
76,42,17,2025-05-29,Checkout,Purchase,261
77,36,4,2023-06-02,Homepage,Click,100
78,46,17,2025-06-15,Checkout,Purchase,122
79,75,10,2023-11-13,Homepage,View,244
80,64,6,2025-04-06,Homepage,Click,161
81,89,15,2025-10-27,Checkout,Purchase,246
82,64,2,2025-06-07,Homepage,Click,261
83,54,8,2024-01-18,ProductPage,Click,83
84,79,15,2025-03-09,Checkout,Purchase,48
85,56,4,2023-05-26,Homepage,Click,166
86,83,3,2023-09-06,Homepage,View,79
87,2,2,2023-09-25,Homepage,View,277
88,15,20,2025-12-18,homepage,View,136
89,14,9,2025-04-18,Homepage,Click,104
90,49,8,2025-03-25,Homepage,View,248
91,99,10,2023-12-07,Homepage,Click,244
92,88,14,2025-03-09,Homepage,View,29
93,43,8,2023-08-22,Checkout,Drop-off,NULL
